unit_number,cycle,true_rul,op_cluster,mahalanobis,fisher_rao,kl_div,js_div,wasserstein,mahalanobis_self,fisher_rao_self,recon_error,drift_raw,drift_flag,geo_alarm_raw,geo_alarm,latent_mu_norm,latent_mu_centered,health_score
3,52,125,0,5.044422,9.296955,26199.715239,23.454631,16.521394,3.196999,5.099591,0.005578,False,False,False,False,3.804865,2.98879,3.791
3,53,125,0,4.398739,9.161415,25874.147305,23.345802,15.791184,2.461668,4.454756,0.005086,False,False,False,False,3.707851,2.8727,8.243
3,54,125,0,4.045479,9.072114,25922.509949,23.30602,15.38228,1.993923,3.992864,0.004679,False,False,False,False,3.641611,2.800427,12.168
3,55,125,0,3.920304,8.980856,25654.778487,23.244088,14.961278,2.081529,3.254162,0.004381,False,False,False,False,3.578371,2.732029,13.749
3,56,125,0,3.57395,8.888287,25463.304313,23.173694,14.505049,1.684037,2.709734,0.004161,False,False,False,False,3.521876,2.653067,20.978
3,57,125,0,3.5574,8.819747,25274.349148,23.1284,14.199833,1.842069,2.008678,0.004,False,False,False,False,3.468926,2.600591,21.506
3,58,125,0,3.2878,8.794467,25079.519985,23.097895,14.172855,1.789999,1.527035,0.003924,False,False,False,False,3.442668,2.602044,29.935
3,59,125,0,3.872343,8.736277,24535.899937,23.020757,13.934624,2.399662,1.15438,0.003877,False,False,False,False,3.431531,2.570756,14.576
3,60,125,0,2.760332,8.680523,24573.323781,22.998217,13.694751,1.276731,0.83931,0.003797,False,False,False,False,3.375569,2.52341,58.009
3,61,125,0,2.763626,8.60221,24588.445231,22.956327,13.331927,1.045391,0.504614,0.003694,False,False,False,False,3.324239,2.450551,57.813
3,62,125,0,2.890105,8.503628,24623.183135,22.909586,12.863272,1.42499,0.679505,0.003625,False,False,False,False,3.26587,2.352355,49.285
3,63,125,0,2.611427,8.496176,24578.16329,22.899439,12.806886,1.492556,1.010801,0.003594,False,False,False,False,3.227829,2.341872,68.534
3,64,125,0,2.902334,8.413387,24649.971372,22.878128,12.486666,1.672167,1.46882,0.003606,False,False,False,False,3.180167,2.270654,48.544
3,65,125,0,2.704986,8.408937,24149.257095,22.814404,12.471289,1.996452,1.9751,0.003585,False,False,False,False,3.190071,2.283304,61.856
3,66,125,0,2.458417,8.319423,24443.597097,22.807829,12.112914,1.633155,2.288988,0.003555,False,False,False,False,3.122948,2.194803,78.297
3,67,125,0,2.72149,8.240699,24220.708158,22.748536,11.786741,1.928515,2.800091,0.003545,False,False,False,False,3.077746,2.126706,60.32
3,68,125,0,2.738374,8.237963,24215.007625,22.745622,11.741548,2.372203,3.103281,0.003535,False,False,False,False,3.05868,2.116896,59.11
3,69,125,0,3.028621,8.233569,23789.926022,22.697594,11.790008,2.566598,3.329302,0.003511,False,False,False,False,3.071499,2.142246,40.116
3,70,125,0,2.469758,8.217897,23806.752434,22.697741,11.79531,1.967997,3.542939,0.003483,False,False,False,False,3.071667,2.143924,77.782
3,71,124,0,2.238388,8.157183,23869.738877,22.678278,11.508317,2.024262,3.926322,0.003474,False,False,False,False,3.009772,2.074063,90.612
3,72,123,0,2.221782,8.094762,23745.978458,22.632725,11.233494,1.697473,4.265604,0.003521,False,False,False,False,2.962166,2.011499,91.219
3,73,122,0,2.639835,8.057049,23878.8559,22.639133,11.123445,2.706209,4.486347,0.003548,False,False,False,False,2.926748,1.97996,66.896
3,74,121,0,2.213464,8.066351,23579.936368,22.607621,11.172318,2.141632,4.791551,0.003571,False,False,False,False,2.949978,2.003289,91.481
3,75,120,0,2.540131,8.066861,23460.99008,22.597177,11.216409,2.595549,5.078715,0.00353,False,False,False,False,2.939744,2.018825,73.338
3,76,119,0,2.165403,8.035782,23281.282189,22.559927,11.133655,2.184569,5.19549,0.003561,False,False,False,False,2.931038,2.004908,92.654
3,77,118,0,2.630498,8.031318,23218.860958,22.553396,11.159591,2.889566,5.413673,0.003539,False,False,False,False,2.918765,2.013763,67.576
3,78,117,0,2.349701,7.997761,23198.79596,22.536687,11.046621,2.49296,5.515842,0.003559,False,False,False,False,2.906456,1.987189,85.212
3,79,116,0,2.643307,7.992765,23274.352342,22.549705,11.015086,2.950566,5.758194,0.003552,False,False,False,False,2.886038,1.976966,66.439
3,80,115,0,2.219827,7.948829,23094.205907,22.504263,10.820603,2.226194,5.813831,0.003579,False,False,False,False,2.880487,1.933455,91.28
3,81,114,0,2.763953,7.884584,23301.998542,22.503316,10.558305,3.152042,6.000417,0.003602,False,False,False,False,2.805331,1.857295,57.793
3,82,113,0,2.981163,7.798909,23211.061399,22.454747,10.247264,3.120143,6.011236,0.003667,False,False,False,False,2.759358,1.775249,43.318
3,83,112,0,2.295522,7.845475,23104.380615,22.462819,10.435,2.885834,6.279789,0.003611,False,False,False,False,2.779988,1.83184,88.042
3,84,111,0,2.021768,7.89813,22766.705852,22.442509,10.747533,2.595057,6.466807,0.003551,False,False,False,False,2.835423,1.928128,97.085
3,85,110,0,2.23728,7.914806,22607.470069,22.436298,10.892972,2.754904,6.708092,0.003492,False,False,False,False,2.861488,1.971759,90.656
3,86,109,0,1.950494,7.927056,22483.857184,22.424253,10.949046,2.544617,6.875794,0.0035,False,False,False,False,2.861647,1.990455,98.336
3,87,108,0,2.635309,7.972044,22391.813972,22.435303,11.209858,3.412898,7.190319,0.003538,False,False,False,False,2.8865,2.059139,67.293
3,88,107,0,3.155217,7.968345,22611.419549,22.464745,11.299012,3.880976,7.296552,0.003576,False,False,False,False,2.872933,2.074799,34.849
3,89,106,0,3.133673,8.007328,21845.479208,22.378144,11.512232,3.648231,7.477521,0.003623,False,False,False,False,2.947637,2.149441,35.619
3,90,105,0,2.133165,7.925835,22096.883084,22.381792,11.176468,2.995097,7.604705,0.003616,False,False,False,False,2.873306,2.062303,94.204
3,91,104,0,2.296408,7.847204,22060.095087,22.339299,10.811154,2.964277,7.61944,0.003633,False,False,False,False,2.828104,1.973084,88.012
3,92,103,0,2.350183,7.842745,22237.494188,22.360495,10.776357,3.321692,7.660425,0.003652,False,False,False,False,2.794045,1.958055,85.165
3,93,102,0,1.929561,7.849282,21999.151779,22.330631,10.837344,2.69931,7.724771,0.003674,False,False,False,False,2.825972,1.982083,98.588
3,94,101,0,2.123354,7.868139,21978.664093,22.342021,11.005562,3.20156,7.877227,0.003681,False,False,False,False,2.837909,2.025481,94.45
3,95,100,0,2.436216,7.964624,21735.924726,22.347427,11.463428,3.383977,8.092866,0.003705,False,False,False,False,2.90297,2.143668,79.803
3,96,99,0,2.635618,7.925325,21576.322204,22.312235,11.385632,3.464375,8.250733,0.003688,False,False,False,False,2.904936,2.131458,67.269
3,97,98,0,2.034801,7.900771,21729.857623,22.323768,11.280105,3.178125,8.331939,0.003645,False,False,False,False,2.865216,2.101656,96.879
3,98,97,0,2.240254,7.879836,21753.540035,22.313498,11.19416,3.339239,8.403238,0.003646,False,False,False,False,2.848736,2.081169,90.537
3,99,96,0,2.216106,7.849289,21805.968097,22.312216,11.086203,3.217058,8.449775,0.003656,False,False,False,False,2.82651,2.053329,91.398
3,100,95,0,2.73705,7.900786,21380.645284,22.271643,11.329959,3.626152,8.549505,0.00369,False,False,False,False,2.890166,2.125362,59.258
3,101,94,0,2.515136,7.896173,21488.339984,22.290618,11.413744,3.544668,8.658201,0.003701,False,False,False,False,2.873704,2.142374,75.132
3,102,93,0,3.242182,7.958586,21100.743395,22.258656,11.727334,4.062416,8.82156,0.003712,False,False,False,False,2.932606,2.226591,31.408
3,103,92,0,2.72811,7.959844,21150.781568,22.270719,11.803303,3.898233,8.961904,0.00372,False,False,False,False,2.939577,2.242851,59.893
3,104,91,0,3.472892,8.041288,21210.052676,22.313836,12.184317,4.554351,9.098649,0.003776,False,False,False,False,2.992722,2.325012,23.75
