unit_number,cycle,true_rul,kl_div,js_div,wasserstein,recon_error,drift_flag,op_cluster,latent_mu_norm
1,52,125,0.003298,0.000823,0.000903,3.487113,False,2,19.23
1,53,125,0.001514,0.000378,0.00039,3.610024,False,2,19.2389
1,54,125,0.001973,0.000493,0.000507,3.555486,False,0,19.2503
1,55,125,0.020904,0.005197,0.005036,3.306907,False,1,19.0738
1,56,125,0.002216,0.000553,0.000605,3.453446,False,0,19.2473
1,57,125,0.000994,0.000248,0.000253,3.52559,False,0,19.2555
1,58,125,0.127836,0.031527,0.031985,3.576264,False,4,18.8024
1,59,125,0.040478,0.01006,0.010619,3.637975,False,1,19.0453
1,60,125,0.002727,0.000681,0.000766,3.563366,False,5,19.2462
1,61,125,0.00697,0.001738,0.001781,3.546788,False,3,19.1996
1,62,125,0.001461,0.000365,0.000386,3.582244,False,0,19.2517
1,63,125,0.035172,0.008736,0.008841,3.599384,False,1,19.051
1,64,125,0.161696,0.039831,0.040965,3.703124,False,4,18.7781
1,65,125,0.003405,0.00085,0.000957,3.681116,False,5,19.2441
1,66,125,0.005706,0.001423,0.001489,3.720064,False,3,19.2034
1,67,125,0.006845,0.001707,0.001768,3.669362,False,3,19.2001
1,68,125,0.00155,0.000387,0.000407,3.659793,False,0,19.2511
1,69,125,0.001996,0.000499,0.000511,3.732047,False,2,19.2364
1,70,125,0.000805,0.000201,0.000203,3.712229,False,5,19.2576
1,71,125,0.024412,0.006067,0.005876,3.716859,False,1,19.0683
1,72,125,0.002184,0.000546,0.00058,3.788208,False,2,19.2347
1,73,125,0.1037,0.025624,0.026168,3.836002,False,4,18.8161
1,74,125,0.049722,0.012347,0.013051,3.79683,False,1,19.0357
1,75,125,0.015801,0.003938,0.004314,3.519833,False,3,19.1826
1,76,125,0.011179,0.002787,0.002961,3.61903,False,3,19.1899
1,77,125,0.002279,0.000569,0.000608,3.696917,False,0,19.2473
1,78,125,0.034505,0.008573,0.008701,3.610752,False,1,19.0529
1,79,125,0.042941,0.010669,0.011278,3.608338,False,1,19.0424
1,80,125,0.002799,0.000699,0.000785,3.60987,False,0,19.2451
1,81,125,0.006034,0.001505,0.001542,3.594269,False,3,19.2026
1,82,125,0.001087,0.000272,0.000283,3.628604,False,0,19.254
1,83,125,0.004712,0.001175,0.001147,3.308017,False,3,19.2078
1,84,125,0.0012,0.0003,0.000305,3.588863,False,2,19.2411
1,85,125,0.0281,0.006983,0.007029,3.651818,False,1,19.0602
1,86,125,0.034359,0.008543,0.009092,3.589346,False,1,19.0527
1,87,125,0.003304,0.000825,0.000886,3.452543,False,2,19.2302
1,88,125,0.001128,0.000282,0.000291,3.61732,False,0,19.2543
1,89,125,0.003324,0.000829,0.000811,3.553369,False,3,19.2135
1,90,125,0.004409,0.0011,0.001109,3.238102,False,3,19.2079
1,91,125,0.038948,0.009677,0.009966,3.12481,False,1,19.0471
1,92,125,0.014193,0.003537,0.00383,3.189032,False,3,19.1849
1,93,125,0.008765,0.002186,0.002339,3.13065,False,3,19.1956
1,94,125,0.043348,0.010768,0.011233,2.839708,False,1,19.0413
1,95,125,0.002821,0.000704,0.000787,2.988765,False,0,19.2448
1,96,125,0.000621,0.000155,0.000161,3.039862,False,5,19.2587
1,97,125,0.06128,0.015183,0.015599,3.046757,False,4,18.8505
1,98,125,0.003137,0.000783,0.000883,3.091338,False,5,19.2449
1,99,125,0.019872,0.004946,0.00512,2.993372,False,1,19.0739
1,100,125,0.012805,0.003192,0.003465,2.880906,False,3,19.1871
1,101,125,0.001369,0.000342,0.000369,2.6182,False,5,19.2526
1,102,125,0.033849,0.008411,0.008531,2.514894,False,1,19.0532
1,103,125,0.002998,0.000748,0.000829,2.690349,False,0,19.2438
1,104,125,0.001237,0.000309,0.000313,2.773106,False,2,19.2409
1,105,125,0.003587,0.000895,0.000865,2.800165,False,3,19.213
1,106,125,0.000927,0.000232,0.000234,2.788755,False,0,19.2562
1,107,125,0.00318,0.000794,0.000745,2.66762,False,3,19.2149
1,108,125,0.004353,0.001086,0.00108,2.600998,False,3,19.2084
1,109,125,0.007316,0.001824,0.001865,2.614128,False,3,19.1985
1,110,125,0.001283,0.00032,0.000339,2.623168,False,0,19.2525
1,111,125,0.004598,0.001147,0.001125,2.653453,False,3,19.208
1,112,125,0.005131,0.00128,0.001308,2.544866,False,3,19.2053
1,113,125,0.125494,0.030978,0.031766,2.598092,False,4,18.8012
1,114,125,0.003773,0.000942,0.001067,2.615662,False,0,19.2414
1,115,125,0.000618,0.000154,0.000161,2.619783,False,0,19.258
1,116,125,0.053601,0.013286,0.013414,2.710976,False,4,18.8618
1,117,125,0.010806,0.002695,0.002966,2.707694,False,3,19.1936
1,118,125,0.051951,0.012884,0.013468,2.480284,False,4,18.8586
1,119,125,0.014737,0.003674,0.00403,2.590648,False,3,19.1859
1,120,125,0.001455,0.000364,0.000393,2.673223,False,2,19.2391
1,121,125,0.063079,0.01563,0.015903,2.515458,False,4,18.8506
1,122,125,0.002354,0.000588,0.000661,2.5943,False,5,19.2489
1,123,125,0.000942,0.000235,0.000247,2.572986,False,0,19.2556
1,124,125,0.000538,0.000135,0.000136,2.61166,False,0,19.259
1,125,125,0.051277,0.012713,0.012947,2.707547,False,4,18.8621
1,126,125,0.002345,0.000586,0.000665,2.787136,False,0,19.2476
1,127,125,0.018596,0.00463,0.004821,2.710632,False,1,19.0764
1,128,124,0.001507,0.000376,0.000416,2.706644,False,5,19.2523
